,state,county,age_group,gender,date,cases,deaths,recovered
0,Bayern,SK Muenchen,00-04,F,2023-01-02,8,0,8
1,Bayern,SK Muenchen,00-04,F,2023-01-05,2,0,2
2,Bayern,SK Muenchen,00-04,F,2023-01-09,5,0,0
3,Bayern,SK Muenchen,00-04,F,2023-01-10,3,0,0
4,Bayern,SK Muenchen,00-04,F,2023-01-11,3,0,0
5,Bayern,SK Muenchen,00-04,F,2023-01-12,1,0,0
6,Bayern,SK Muenchen,00-04,F,2023-01-16,4,0,0
7,Bayern,SK Muenchen,00-04,F,2023-01-17,3,0,0
8,Bayern,SK Muenchen,00-04,F,2023-01-18,4,0,0
9,Bayern,SK Muenchen,00-04,F,2023-01-19,1,0,0
10,Bayern,SK Muenchen,00-04,F,2023-01-20,1,0,0
11,Bayern,SK Muenchen,00-04,F,2023-01-23,2,0,0
12,Bayern,SK Muenchen,00-04,F,2023-01-24,1,0,0
13,Bayern,SK Muenchen,00-04,F,2023-01-25,2,0,0
14,Bayern,SK Muenchen,00-04,F,2023-01-26,1,0,0
15,Bayern,SK Muenchen,00-04,F,2023-01-27,4,0,1
16,Bayern,SK Muenchen,00-04,F,2023-01-30,4,0,0
17,Bayern,SK Muenchen,00-04,F,2023-01-31,2,0,0
18,Bayern,SK Muenchen,00-04,M,2023-01-02,3,0,3
19,Bayern,SK Muenchen,00-04,M,2023-01-03,2,0,2
20,Bayern,SK Muenchen,00-04,M,2023-01-04,4,0,3
21,Bayern,SK Muenchen,00-04,M,2023-01-05,1,0,1
22,Bayern,SK Muenchen,00-04,M,2023-01-09,6,0,1
23,Bayern,SK Muenchen,00-04,M,2023-01-11,1,0,0
24,Bayern,SK Muenchen,00-04,M,2023-01-12,2,0,0
25,Bayern,SK Muenchen,00-04,M,2023-01-16,2,0,0
26,Bayern,SK Muenchen,00-04,M,2023-01-17,1,0,0
27,Bayern,SK Muenchen,00-04,M,2023-01-23,1,0,0
28,Bayern,SK Muenchen,00-04,M,2023-01-24,3,0,0
29,Bayern,SK Muenchen,00-04,M,2023-01-25,1,0,0
30,Bayern,SK Muenchen,00-04,M,2023-01-26,2,0,0
31,Bayern,SK Muenchen,00-04,M,2023-01-27,3,0,0
32,Bayern,SK Muenchen,00-04,M,2023-01-30,4,0,0
33,Bayern,SK Muenchen,00-04,M,2023-01-31,2,0,0
34,Bayern,SK Muenchen,05-14,F,2023-01-02,8,0,8
35,Bayern,SK Muenchen,05-14,F,2023-01-03,3,0,3
36,Bayern,SK Muenchen,05-14,F,2023-01-04,3,0,3
37,Bayern,SK Muenchen,05-14,F,2023-01-05,1,0,1
38,Bayern,SK Muenchen,05-14,F,2023-01-09,5,0,0
39,Bayern,SK Muenchen,05-14,F,2023-01-10,2,0,0
40,Bayern,SK Muenchen,05-14,F,2023-01-12,2,0,0
41,Bayern,SK Muenchen,05-14,F,2023-01-13,2,0,0
42,Bayern,SK Muenchen,05-14,F,2023-01-16,6,0,1
43,Bayern,SK Muenchen,05-14,F,2023-01-17,1,0,0
44,Bayern,SK Muenchen,05-14,F,2023-01-18,4,0,0
45,Bayern,SK Muenchen,05-14,F,2023-01-19,5,0,0
46,Bayern,SK Muenchen,05-14,F,2023-01-20,6,0,0
47,Bayern,SK Muenchen,05-14,F,2023-01-23,7,0,0
48,Bayern,SK Muenchen,05-14,F,2023-01-24,4,0,0
49,Bayern,SK Muenchen,05-14,F,2023-01-25,5,0,0
50,Bayern,SK Muenchen,05-14,F,2023-01-26,2,0,0
51,Bayern,SK Muenchen,05-14,F,2023-01-27,2,0,0
52,Bayern,SK Muenchen,05-14,F,2023-01-30,15,0,0
53,Bayern,SK Muenchen,05-14,F,2023-01-31,9,0,0
54,Bayern,SK Muenchen,05-14,M,2023-01-02,1,0,1
55,Bayern,SK Muenchen,05-14,M,2023-01-04,1,0,1
56,Bayern,SK Muenchen,05-14,M,2023-01-05,1,0,1
57,Bayern,SK Muenchen,05-14,M,2023-01-09,5,0,0
58,Bayern,SK Muenchen,05-14,M,2023-01-10,3,0,0
59,Bayern,SK Muenchen,05-14,M,2023-01-11,2,0,0
60,Bayern,SK Muenchen,05-14,M,2023-01-16,2,0,0
61,Bayern,SK Muenchen,05-14,M,2023-01-17,3,0,0
62,Bayern,SK Muenchen,05-14,M,2023-01-18,4,0,0
63,Bayern,SK Muenchen,05-14,M,2023-01-19,4,0,0
64,Bayern,SK Muenchen,05-14,M,2023-01-20,1,0,0
65,Bayern,SK Muenchen,05-14,M,2023-01-23,3,0,0
66,Bayern,SK Muenchen,05-14,M,2023-01-24,5,0,0
67,Bayern,SK Muenchen,05-14,M,2023-01-25,4,0,0
68,Bayern,SK Muenchen,05-14,M,2023-01-26,6,0,0
69,Bayern,SK Muenchen,05-14,M,2023-01-27,5,0,0
70,Bayern,SK Muenchen,05-14,M,2023-01-30,12,0,0
71,Bayern,SK Muenchen,05-14,M,2023-01-31,2,0,0
72,Bayern,SK Muenchen,15-34,F,2023-01-01,1,0,1
73,Bayern,SK Muenchen,15-34,F,2023-01-02,53,0,53
74,Bayern,SK Muenchen,15-34,F,2023-01-03,44,0,44
75,Bayern,SK Muenchen,15-34,F,2023-01-04,39,0,39
76,Bayern,SK Muenchen,15-34,F,2023-01-05,20,0,20
77,Bayern,SK Muenchen,15-34,F,2023-01-09,82,0,3
78,Bayern,SK Muenchen,15-34,F,2023-01-10,51,0,0
79,Bayern,SK Muenchen,15-34,F,2023-01-11,46,0,3
80,Bayern,SK Muenchen,15-34,F,2023-01-12,31,0,0
81,Bayern,SK Muenchen,15-34,F,2023-01-13,23,0,1
82,Bayern,SK Muenchen,15-34,F,2023-01-16,45,0,3
83,Bayern,SK Muenchen,15-34,F,2023-01-17,21,0,0
84,Bayern,SK Muenchen,15-34,F,2023-01-18,30,0,0
85,Bayern,SK Muenchen,15-34,F,2023-01-19,17,0,0
86,Bayern,SK Muenchen,15-34,F,2023-01-20,25,0,0
87,Bayern,SK Muenchen,15-34,F,2023-01-23,43,0,1
88,Bayern,SK Muenchen,15-34,F,2023-01-24,26,0,0
89,Bayern,SK Muenchen,15-34,F,2023-01-25,37,0,0
90,Bayern,SK Muenchen,15-34,F,2023-01-26,27,0,0
91,Bayern,SK Muenchen,15-34,F,2023-01-27,18,0,0
92,Bayern,SK Muenchen,15-34,F,2023-01-30,50,0,0
93,Bayern,SK Muenchen,15-34,F,2023-01-31,56,0,0
94,Bayern,SK Muenchen,15-34,M,2023-01-02,40,0,40
95,Bayern,SK Muenchen,15-34,M,2023-01-03,26,0,26
96,Bayern,SK Muenchen,15-34,M,2023-01-04,34,0,34
97,Bayern,SK Muenchen,15-34,M,2023-01-05,12,0,12
98,Bayern,SK Muenchen,15-34,M,2023-01-09,44,0,2
99,Bayern,SK Muenchen,15-34,M,2023-01-10,29,0,0
100,Bayern,SK Muenchen,15-34,M,2023-01-11,28,0,0
101,Bayern,SK Muenchen,15-34,M,2023-01-12,20,0,1
102,Bayern,SK Muenchen,15-34,M,2023-01-13,4,0,1
103,Bayern,SK Muenchen,15-34,M,2023-01-16,26,0,0
104,Bayern,SK Muenchen,15-34,M,2023-01-17,12,0,0
105,Bayern,SK Muenchen,15-34,M,2023-01-18,15,0,0
106,Bayern,SK Muenchen,15-34,M,2023-01-19,14,0,0
107,Bayern,SK Muenchen,15-34,M,2023-01-20,12,0,0
108,Bayern,SK Muenchen,15-34,M,2023-01-23,17,0,0
109,Bayern,SK Muenchen,15-34,M,2023-01-24,23,0,0
110,Bayern,SK Muenchen,15-34,M,2023-01-25,23,0,0
111,Bayern,SK Muenchen,15-34,M,2023-01-26,21,0,0
112,Bayern,SK Muenchen,15-34,M,2023-01-27,16,0,0
113,Bayern,SK Muenchen,15-34,M,2023-01-30,37,0,0
114,Bayern,SK Muenchen,15-34,M,2023-01-31,24,0,0
115,Bayern,SK Muenchen,35-59,F,2023-01-01,4,0,4
